8-30 07:12:24 balance=18, cur_time1409368344, 0, if (0 < 1409368344 - 18+1)
8-30 07:13:23 balance=18, cur_time1409368403, 0, if (1409368331 < 1409368403 - 18+1)
8-30 07:13:39 balance=18, cur_time1409368419, 0, if (1409368390 < 1409368419 - 18+1)
8-30 07:13:44 balance=18, cur_time1409368424, 0, if (1409368406 < 1409368424 - 18+1)
8-30 07:13:49 balance=18, cur_time1409368429, 0, if (1409368411 < 1409368429 - 18+1)
8-30 07:13:54 balance=18, cur_time1409368434, 0, if (1409368416 < 1409368434 - 18+1)
8-30 07:13:59 balance=18, cur_time1409368439, 0, if (1409368421 < 1409368439 - 18+1)
8-30 07:14:04 balance=18, cur_time1409368444, 0, if (1409368426 < 1409368444 - 18+1)
8-30 07:14:11 balance=18, cur_time1409368451, 0, if (1409368431 < 1409368451 - 18+1)
8-30 07:14:16 balance=18, cur_time1409368456, 0, if (1409368438 < 1409368456 - 18+1)
8-30 07:14:29 balance=18, cur_time1409368469, 0, if (1409368443 < 1409368469 - 18+1)
8-30 07:16:23 balance=18, cur_time1409368583, 0, if (1409368565 < 1409368583 - 18+1)
8-30 07:17:08 balance=18, cur_time1409368628, 0, if (1409368610 < 1409368628 - 18+1)
8-30 07:17:13 balance=18, cur_time1409368633, 0, if (1409368615 < 1409368633 - 18+1)
8-30 07:17:19 balance=18, cur_time1409368639, 0, if (1409368620 < 1409368639 - 18+1)
8-30 07:17:26 balance=18, cur_time1409368646, 0, if (1409368626 < 1409368646 - 18+1)
8-30 07:17:31 balance=18, cur_time1409368651, 0, if (1409368633 < 1409368651 - 18+1)
8-31 06:01:37 balance=18, cur_time1409450497, 0, if (0 < 1409450497 - 18+1)
8-31 06:01:42 balance=18, cur_time1409450502, 0, if (1409450484 < 1409450502 - 18+1)
8-31 06:02:53 balance=18, cur_time1409450573, 0, if (1409450555 < 1409450573 - 18+1)
8-31 06:03:36 balance=18, cur_time1409450616, 0, if (1409450596 < 1409450616 - 18+1)
8-31 06:03:42 balance=18, cur_time1409450622, 0, if (1409450603 < 1409450622 - 18+1)
8-31 06:03:48 balance=18, cur_time1409450628, 0, if (1409450609 < 1409450628 - 18+1)
8-31 06:04:04 balance=18, cur_time1409450644, 0, if (1409450615 < 1409450644 - 18+1)
8-31 06:05:37 balance=18, cur_time1409450737, 0, if (1409450709 < 1409450737 - 18+1)
8-31 06:05:52 balance=18, cur_time1409450752, 0, if (1409450724 < 1409450752 - 18+1)
8-31 06:05:57 balance=18, cur_time1409450757, 0, if (1409450739 < 1409450757 - 18+1)
8-31 06:06:21 balance=18, cur_time1409450781, 0, if (1409450744 < 1409450781 - 18+1)
8-31 06:06:26 balance=18, cur_time1409450786, 0, if (1409450768 < 1409450786 - 18+1)
9-01 00:15:10 balance=18, cur_time1409516110, 0, if (1409516075 < 1409516110 - 18+1)
